record_id,event_type,timestamp_start,timestamp_end,collector_receive_time,ingest_source,schema_version,subscriber_id,account_number,customer_type,enterprise_tenant_id,pii_masked,aaa_session_id,aaa_start_time,aaa_end_time,access_type,bng_id,nas_ip,nas_port,vlan_id,pppoe_session_id,dhcp_lease_id,src_ip,src_port,src_ipv6,src_mac,device_os,device_type,user_agent,dst_ip,dst_port,dst_ipv6,domain,server_asn,server_country,server_city,nat_session_id,nat_public_ip,nat_public_port,nat_pool_id,cgnat_box_id,l3_proto,l4_proto,app_proto,tls_cipher,qos_class,policy_id,policy_action,bytes_up,bytes_down,pkts_up,pkts_down,duration_sec,tcp_syn,tcp_fin,tcp_rst,tcp_retrans,latency_ms,jitter_ms,loss_pct,dns_query,dns_response_ip,dns_rcode,imsi,imei,msisdn,apn,cell_id,pop_id,access_country,access_city,access_longitude,access_latitude,threat_indicator,threat_feed,threat_severity,threat_confidence,service_plan,quota_consumed_mb,billing_rated,warrant_case_id,access_purpose,confidence,deduped,checksum,processing_node
9cc376e3-f59f-444b-8e6c-397464e57eee,policy_match,2025-08-21T09:49:35.527657+00:00,2025-08-21T10:06:01.527657+00:00,2025-08-21T10:06:04.527657+00:00,dpi-blr-03,1.0,sub_8d59a4db,ACCT-669679,Enterprise,ENT-GLOBEX,True,r-11c278,2025-08-21T09:08:35.527657+00:00,2025-08-21T10:14:01.527657+00:00,5G,bng-blr-04,198.12.172.1,38193,,pppoe-a955f8,dhcp-8883fe,10.89.43.3,58516,,c4:81:e7:07:b1:34,Linux,Router,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",86.178.30.30,35157,,cdn.soylent.co,47943,IN,Mumbai,nat-24f418,11.232.47.143,55174,pool-08,cgn-04,IPv6,UDP,KERBEROS,TLS1.3-AES256-GCM,EF,pol-0135,allow,45119962,25295480,151092,258206,986,23,42,6,161,45.02,5.9,0.089,,174.169.1.239,NOERROR,,,,internet,,pop-PUN,IN,New Delhi,74.53100850972716,16.704822262425537,botnet,,0,0.0,Enterprise-1G,117484,False,,ops_monitoring,0.95,False,e17ff3343a934eae9d9b2f5ed2fa23c0,proc-delhi-01
e34b9629-1205-417d-bec5-77823e5b2fdb,policy_match,2025-08-21T08:35:11.527657+00:00,2025-08-21T09:05:53.527657+00:00,2025-08-21T09:05:53.527657+00:00,dpi-mumbai-01,1.0,sub_4982c2a5,ACCT-908364,Government,ENT-GLOBEX,True,r-2a7815,2025-08-21T08:24:11.527657+00:00,2025-08-21T09:14:53.527657+00:00,3G,bng-mumbai-02,72.199.127.122,26670,,pppoe-c68602,dhcp-60f185,10.227.148.77,20323,30c9:8aeb:99ff:f91c:b030:a457:e3d9:825e,58:27:2e:61:ba:8f,Android,Mobile,curl/8.0.1,121.61.10.207,50874,,cdn.stark.in,27146,AU,Thane,nat-7418e1,75.249.65.185,34886,pool-14,cgn-08,IPv4,QUIC,MQTT,TLS1.3-CHACHA20,EF,pol-0449,rate_limit,24917361,198366017,135568,175707,1842,10,35,10,199,25.17,5.18,2.51,,,SERVFAIL,,,,,,pop-HYD,IN,Ahmedabad,91.11501343380934,21.5701136324679,,,0,0.0,Enterprise-1G,182089,True,,,0.91,True,3fbe0586a4ef4edda7fc3835884c89bb,proc-mumbai-02
ad2d7be2-6c71-4d88-a2f8-30ce10843dbf,nat_alloc,2025-08-21T02:51:46.527657+00:00,2025-08-21T03:48:27.527657+00:00,2025-08-21T03:48:30.527657+00:00,dpi-hyd-01,1.0,sub_49807262,ACCT-732179,Government,,True,r-cfcbae,2025-08-21T01:52:46.527657+00:00,2025-08-21T03:55:27.527657+00:00,4G,bng-delhi-03,206.167.57.129,23004,,pppoe-ce91f2,,172.27.52.161,31650,,4c:3e:2c:25:90:3a,Router,Server,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0,53.78.146.251,24254,,news.hooli.gov,36833,FR,Kolkata,nat-0cc73c,61.4.220.73,12695,pool-14,cgn-09,IPv6,UDP,RTMP,TLS1.3-AES256-GCM,AF11,pol-0336,alert_only,30622825,71382716,60197,320859,3401,30,16,2,64,54.8,6.07,0.658,,212.20.127.221,,,,,,,pop-HYD,IN,Noida,80.90721287059675,22.631899509780645,,,0,0.0,Pro-500Mbps,180153,False,,,0.92,False,871c38622df4450295912a9a24c78ca8,proc-blr-01
bcdf3266-7c27-471e-b915-bb0d4c2e0d4c,threat_hit,2025-08-21T09:09:17.527657+00:00,2025-08-21T09:23:19.527657+00:00,2025-08-21T09:23:22.527657+00:00,dpi-blr-02,1.0,sub_6729caaf,ACCT-614104,Government,GOV-DELHI,True,r-af6bd1,2025-08-21T08:27:17.527657+00:00,2025-08-21T09:26:19.527657+00:00,3G,bng-pune-01,65.215.132.30,25780,,pppoe-4572d7,,172.17.220.247,51439,,ec:e5:5d:04:14:51,Router,Mobile,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0,211.191.245.229,28109,315:e1d4:10f5:9c31:d422:7f89:fc16:41b6,soylent.in,49438,JP,Noida,nat-02d8ec,185.135.225.149,14164,pool-10,cgn-10,IPv6,TCP,QUIC,TLS1.3-CHACHA20,CS0,pol-0305,allow,36609344,122099577,98711,411038,842,41,41,6,190,58.91,0.97,0.0,,,,,,,,,pop-HYD,IN,Gurugram,86.04319765379373,36.67984428277467,,,0,0.0,Enterprise-1G,18233,True,,,0.92,True,db3bbb0a3b904d7dacd03adf513a54d5,proc-mumbai-02
9785d311-d471-42d3-b9e8-8eff234cee37,session_end,2025-08-20T18:32:28.527657+00:00,2025-08-20T18:56:37.527657+00:00,2025-08-20T18:56:38.527657+00:00,dpi-pune-03,1.0,sub_7feaca94,ACCT-556519,Retail,,True,r-2dd873,2025-08-20T17:48:28.527657+00:00,2025-08-20T19:02:37.527657+00:00,WiFi,bng-hyd-04,75.200.228.91,15479,,pppoe-e45b17,dhcp-aeb42b,172.18.26.39,57610,27d4:8e2e:d226:32b5:383c:61e5:5323:af47,fc:5e:51:3e:60:8d,Windows,Tablet,okhttp/4.9.3 Android,41.249.30.140,61774,,mail.globex.edu,48322,IN,Noida,nat-722ff2,46.125.134.48,46636,pool-04,cgn-01,IPv6,UDP,TELNET,TLS1.2-AES128-GCM,AF31,pol-0201,alert_only,7025473,34208850,134362,35910,1449,8,45,4,28,8.17,4.29,0.0,,199.247.27.126,,,,,,,pop-HYD,IN,Bengaluru,69.27431823088011,9.034728084434288,,,0,0.0,Basic-50Mbps,99330,True,,,0.99,True,25e28fd896224de8851616609429f2dd,proc-mumbai-02
8afcb372-188f-49e6-85ba-397f9de7ae01,session_start,2025-08-21T12:34:37.527657+00:00,2025-08-21T12:41:54.527657+00:00,2025-08-21T12:41:54.527657+00:00,dpi-hyd-03,1.0,sub_73027fe6,ACCT-857241,Retail,ENT-ACME,True,r-d9c667,2025-08-21T12:27:37.527657+00:00,2025-08-21T12:49:54.527657+00:00,DOCSIS,bng-blr-02,151.31.112.50,37718,3476.0,,dhcp-e1aae2,10.76.214.65,19717,,59:91:a4:0e:6a:3c,Router,Mobile,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0,93.28.238.197,7022,,login.umbrella.io,34999,DE,Jaipur,nat-eb5dce,43.194.52.162,11021,pool-10,cgn-04,IPv6,ESP,SMTP,None,AF21,pol-0229,rate_limit,27292054,21778056,168428,397970,437,4,1,10,188,41.26,2.55,0.0,,,,,,,,,pop-DEL,IN,Chandigarh,86.2475613802393,22.909411751385903,phishing,,0,0.0,Plus-200Mbps,53303,False,,,0.9,False,2d471cb97d2d49bf926b8f62c7272f3e,proc-mumbai-02
da1c6343-421b-4374-b70b-abbc98c345ec,session_start,2025-08-21T14:57:45.527657+00:00,2025-08-21T15:39:00.527657+00:00,2025-08-21T15:39:03.527657+00:00,dpi-blr-02,1.0,sub_edcdf8ac,ACCT-244820,Enterprise,ENT-GLOBEX,True,r-2d5ed9,2025-08-21T14:43:45.527657+00:00,2025-08-21T15:39:00.527657+00:00,3G,bng-mumbai-02,150.93.210.203,56770,2979.0,,,192.168.30.246,60528,,75:68:cb:26:73:40,Android,Mobile,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0 Safari/537.36",8.113.64.218,39454,,www.globex.net,61700,AE,Gurugram,nat-65cffe,186.150.239.102,40309,pool-13,cgn-06,DualStack,TCP,SSH,TLS1.2-AES128-GCM,CS5,pol-0349,deny,22252767,66041283,110422,319052,2475,40,43,4,64,14.4,3.57,0.0,contoso.in,9.166.134.108,,,,,iot,,pop-DEL,IN,Chennai,88.06893150557333,13.81759499562286,,,0,0.0,Enterprise-1G,134264,False,,billing,0.96,False,622c709bcbb1466299bbc6ce30d294cb,proc-blr-01
80e491c1-156a-42e1-8cd6-1ddfd64f5f5e,dns_query,2025-08-21T05:31:15.527657+00:00,2025-08-21T05:37:16.527657+00:00,2025-08-21T05:37:19.527657+00:00,dpi-delhi-02,1.0,sub_5592e98f,ACCT-684025,Government,,True,r-649aa1,2025-08-21T05:25:15.527657+00:00,2025-08-21T05:42:16.527657+00:00,4G,bng-mumbai-02,11.187.159.102,28184,,,,10.158.225.234,58639,a089:741f:9a02:ee4a:6f2c:a9c8:cd5c:3408,a2:f8:dc:8c:d1:e6,IoT-Embedded,PC,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0 Safari/537.36",219.175.102.132,44359,c2c7:af35:8af7:6ede:583:986:f139:ae76,login.wayne.co,22682,US,Hyderabad,nat-b21acf,97.159.20.78,41450,pool-18,cgn-02,DualStack,SCTP,BGP,TLS1.3-CHACHA20,BestEffort,pol-0243,alert_only,3791215,80195322,95614,499148,361,22,49,4,145,28.85,4.9,1.827,,,SERVFAIL,,,,,,pop-MUM,IN,Noida,72.47937135078176,15.760379832349777,,,0,0.0,Plus-200Mbps,135183,True,,,0.98,True,c68286a86bff42eebc97a5b5ff14f509,proc-blr-01
401dbcda-486a-42e1-b65e-305203b173f6,policy_match,2025-08-20T17:22:38.527657+00:00,2025-08-20T18:09:08.527657+00:00,2025-08-20T18:09:09.527657+00:00,dpi-delhi-01,1.0,sub_ce569de7,ACCT-202620,Enterprise,,True,r-2d36f9,2025-08-20T16:31:38.527657+00:00,2025-08-20T18:09:08.527657+00:00,4G,bng-pune-01,185.227.249.2,16641,2489.0,,dhcp-c3c144,172.28.12.194,50798,,0e:a0:79:fa:7e:43,IoT-Embedded,IoT,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0 Safari/537.36",108.62.146.162,19348,,m.soylent.com,47702,SG,Gurugram,nat-9ca90a,26.85.32.101,45798,pool-07,cgn-10,IPv4,QUIC,LDAP,TLS1.2-AES128-GCM,AF21,pol-0471,alert_only,48408002,104062348,7915,86183,2790,46,29,9,81,47.21,5.19,0.0,,183.41.175.136,,,,,,,pop-MUM,IN,Hyderabad,86.55179784133327,29.511357473493856,,,3,0.0,Basic-50Mbps,130558,False,,,0.9,False,e0040e92974d483da275c05ca36ac106,proc-mumbai-02
244f4da4-9714-4975-9ebe-e6446f8a1c12,heartbeat,2025-08-21T05:44:15.527657+00:00,2025-08-21T06:39:02.527657+00:00,2025-08-21T06:39:05.527657+00:00,dpi-mumbai-01,1.0,sub_790fdd8c,ACCT-275426,Government,GOV-DELHI,True,r-9cde14,2025-08-21T05:31:15.527657+00:00,2025-08-21T06:46:02.527657+00:00,FTTH,bng-mumbai-01,113.27.22.64,40883,,,dhcp-a49688,172.24.142.160,5152,7cc7:4bee:ae30:cd10:7c64:71f0:d506:b4fc,ea:95:f9:4f:63:a1,Android,Tablet,curl/8.0.1,104.80.10.189,25122,,cdn.soylent.gov,23564,CA,Mumbai,nat-eec364,131.234.67.237,19785,pool-10,cgn-09,IPv6,SCTP,P2P,None,CS5,pol-0274,quarantine,37696339,96376460,191673,128363,3287,44,17,10,6,14.06,7.58,0.679,,220.70.36.56,NOERROR,,,915579531220,,,pop-BLR,IN,Gurugram,93.26884192409354,18.47665771141057,,,0,0.0,Enterprise-1G,176011,False,CASE-1944,billing,0.96,True,cf6f7a99c3a248c9b963e64b3dc911d5,proc-delhi-01
